TABLE_NAME,FIELD_NAME,VALUESET_ITEM,VALUESET_ITEM_DESCRIPTOR
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ARN,ARN=Mapudungun;  Mapuche
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ARP,ARP=Arapaho
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ARW,ARW=Arawak
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ASM,ASM=Assamese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AST,AST=Asturian;  Bable;  Leonese;  Asturleonese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AVA,AVA=Avaric
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AWA,AWA=Awadhi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AYM,AYM=Aymara
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,AZE,AZE=Azerbaijani
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BAK,BAK=Bashkir
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BAL,BAL=Baluchi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BAM,BAM=Bambara
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BAN,BAN=Balinese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BAS,BAS=Basa
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BEJ,BEJ=Beja;  Bedawiyet
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BEL,BEL=Belarusian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BEM,BEM=Bemba
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BEN,BEN=Bengali
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BHO,BHO=Bhojpuri
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BIK,BIK=Bikol
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BIN,BIN=Bini;  Edo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BIS,BIS=Bislama
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BLA,BLA=Siksika
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BOD,BOD=Tibetan
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BOS,BOS=Bosnian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BRA,BRA=Braj
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BRE,BRE=Breton
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BUA,BUA=Buriat
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BUG,BUG=Buginese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BUL,BUL=Bulgarian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,BYN,BYN=Bilin;  Blin
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CAD,CAD=Caddo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CAR,CAR=Galibi  Carib
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CAT,CAT=Catalan;  Valencian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CEB,CEB=Cebuano
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CES,CES=Czech
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHA,CHA=Chamorro
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHE,CHE=Chechen
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHK,CHK=Chuukese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHM,CHM=Mari
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHN,CHN=Chinook  jargon
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHO,CHO=Choctaw
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHP,CHP=Chipewyan;  Dene  Suline
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHR,CHR=Cherokee
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHV,CHV=Chuvash
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CHY,CHY=Cheyenne
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,COR,COR=Cornish
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,COS,COS=Corsican
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CRE,CRE=Cree
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CRH,CRH=Crimean  Tatar;  Crimean  Turkish
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CSB,CSB=Kashubian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,CYM,CYM=Welsh
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DAK,DAK=Dakota
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DAN,DAN=Danish
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DAR,DAR=Dargwa
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DEL,DEL=Delaware
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DEN,DEN=Slave  (Athapascan)
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DEU,DEU=German
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DGR,DGR=Dogrib
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DIN,DIN=Dinka
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DIV,DIV=Dhivehi;  Dhivehi;  Maldivian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DOI,DOI=Dogri
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DSB,DSB=Lower  Sorbian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DUA,DUA=Duala
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DYU,DYU=Dyula
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,DZO,DZO=Dzongkha
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,EFI,EFI=Efik
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,EKA,EKA=Ekajuk
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ELL,ELL=Modern  Greek  (1453–)
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ENG,ENG=English
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,EST,EST=Estonian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,EUS,EUS=Basque
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,EWE,EWE=Ewe
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,EWO,EWO=Ewondo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FAN,FAN=Fang
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FAO,FAO=Faroese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FAS,FAS=Persian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FAT,FAT=Fanti
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FIJ,FIJ=Fijian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FIL,FIL=Filipino;  Pilipino
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FIN,FIN=Finnish
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FON,FON=Fon
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FRA,FRA=French
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FRR,FRR=Northern  Frisian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FRS,FRS=Eastern  Frisian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FRY,FRY=Western  Frisian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FUL,FUL=Fulah
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,FUR,FUR=Friulian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GAA,GAA=Ga
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GAY,GAY=Gayo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GBA,GBA=Gbaya
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GIL,GIL=Gilbertese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GLA,GLA=Gaelic;  Scottish  Gaelic
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GLE,GLE=Irish
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GLG,GLG=Galician
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GLV,GLV=Manx
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GON,GON=Gondi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GOR,GOR=Gorontalo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GRB,GRB=Grebo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GRN,GRN=Guarani
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GSW,GSW=Swiss  German;  Alemannic;  Alsatian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GUJ,GUJ=Gujarati
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,GWI,GWI=Gwich?in
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HAI,HAI=Haida
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HAT,HAT=Haitian;  Haitian  Creole
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HAU,HAU=Hausa
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HAW,HAW=Hawaiian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HEB,HEB=Hebrew
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HER,HER=Herero
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HIL,HIL=Hiligaynon
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HIN,HIN=Hindi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HMN,HMN=Hmong;  Mong
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HMO,HMO=Hiri  Motu
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HRV,HRV=Croatian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HSB,HSB=Upper  Sorbian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HUN,HUN=Hungarian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HUP,HUP=Hupa
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,HYE,HYE=Armenian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,IBA,IBA=Iban
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,IBO,IBO=Igbo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,III,III=Sichuan  Yi;  Nuosu
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,IKU,IKU=Inuktitut
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ILO,ILO=Iloko
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,IND,IND=Indonesian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,INH,INH=Ingush
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,IPK,IPK=Inupiaq
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ISL,ISL=Icelandic
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,ITA,ITA=Italian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,JAV,JAV=Javanese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,JPN,JPN=Japanese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,JPR,JPR=Judeo-Persian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,JRB,JRB=Judeo-Arabic
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAA,KAA=Kara-Kalpak
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAB,KAB=Kabyle
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAC,KAC=Kachin;  Jingpho
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAL,KAL=Kalaallisut;  Greenlandic
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAM,KAM=Kamba
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAN,KAN=Kannada
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAS,KAS=Kashmiri
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAT,KAT=Georgian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAU,KAU=Kanuri
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KAZ,KAZ=Kazakh
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KBD,KBD=Kabardian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KHA,KHA=Khasi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KHM,KHM=Central  Khmer
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KIK,KIK=Kikuyu;  Gikuyu
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KIN,KIN=Kinyarwanda
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KIR,KIR=Kirghiz;  Kyrgyz
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KMB,KMB=Kimbundu
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KOK,KOK=Konkani
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KOM,KOM=Komi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KON,KON=Kongo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KOR,KOR=Korean
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KOS,KOS=Kosraean
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KPE,KPE=Kpelle
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KRC,KRC=Karachay-Balkar
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KRL,KRL=Karelian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KRU,KRU=Kurukh
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KUA,KUA=Kuanyama;  Kwanyama
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KUM,KUM=Kumyk
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KUR,KUR=Kurdish
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,KUT,KUT=Kutenai
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LAD,LAD=Ladino
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LAH,LAH=Lahnda
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LAM,LAM=Lamba
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LAO,LAO=Lao
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LAV,LAV=Latvian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LEZ,LEZ=Lezghian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LIM,LIM=Limburgan;  Limburger;  Limburgish
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LIN,LIN=Lingala
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LIT,LIT=Lithuanian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LOL,LOL=Mongo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LOZ,LOZ=Lozi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LTZ,LTZ=Luxembourgish;  Letzeburgesch
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LUA,LUA=Luba-Lulua
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LUB,LUB=Luba-Katanga
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LUG,LUG=Ganda
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LUI,LUI=Luiseno
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LUN,LUN=Lunda
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LUO,LUO=Luo  (Kenya  and  Tanzania)
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,LUS,LUS=Lushai
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MAD,MAD=Madurese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MAG,MAG=Magahi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MAH,MAH=Marshallese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MAI,MAI=Maithili
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MAK,MAK=Makasar
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MAL,MAL=Malayalam
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MAN,MAN=Mandingo
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MAR,MAR=Marathi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MAS,MAS=Masai
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MDF,MDF=Moksha
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MDR,MDR=Mandar
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MEN,MEN=Mende
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MIC,MIC=Mi'kmaq;  Micmac
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MIN,MIN=Minangkabau
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MKD,MKD=Macedonian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MLG,MLG=Malagasy
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MLT,MLT=Maltese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MNC,MNC=Manchu
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MNI,MNI=Manipuri
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MOH,MOH=Mohawk
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MON,MON=Mongolian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MOS,MOS=Mossi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MRI,MRI=Maori
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MSA,MSA=Malay
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MUS,MUS=Creek
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MWL,MWL=Mirandese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MWR,MWR=Marwari
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MYA,MYA=Burmese
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,MYV,MYV=Erzya
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NAP,NAP=Neapolitan
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NAU,NAU=Nauru
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NAV,NAV=Navajo;  Navaho
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NBL,NBL=South  Ndebele
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NDE,NDE=North  Ndebele
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NDO,NDO=Ndonga
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NDS,NDS=Low  German;  Low  Saxon
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NEP,NEP=Nepali
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NEW,NEW=Nepal  Bhasa;  Newari
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NIA,NIA=Nias
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NIU,NIU=Niuean
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NLD,NLD=Dutch;  Flemish
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NNO,NNO=Norwegian  Nynorsk
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NOB,NOB=Norwegian  Bokmål
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NOG,NOG=Nogai
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NOR,NOR=Norwegian
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NQO,NQO=N'Ko
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NSO,NSO=Pedi;  Sepedi;  Northern  Sotho
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NYA,NYA=Chichewa;  Chewa;  Nyanja
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NYM,NYM=Nyamwezi
DEMOGRAPHIC,PAT_PREF_LANGUAGE_SPOKEN,NYN,NYN=Nyankole
